implementation,radius,coverage,empty_ratio,outside_rate,entropy_norm,gini,chi2,avg_active,max_density,std_density,CUS
nsga3_deap_func,0.15,0.0003330003330003331,0.9996669996669995,0.9811124213836476,0.0,3002.0,3002.0,1.0,1.0,0.018245258117619345,-0.018874999476414574
nsga3_deap_func,0.2,0.000999000999000999,0.9990009990009991,0.9433372641509433,0.13720019069199443,3000.0000000000036,2999.9999999999995,1.0,1.0,0.03159118541626753,-0.16976178302829253
nsga3_deap_func,0.25,0.0013419913419913424,0.9986580086580089,0.9238246855345911,0.17382624115791848,2998.97,2998.97,1.0,1.0,0.03658979730127456,-0.3085514472424849
nsga3_deap_func,0.3,0.002997002997002997,0.997002997002997,0.8113325471698113,0.27028714029362944,2994.792000000001,3587.603999999998,1.11,1.99,0.06304154983743904,-1.6928005602887684
nsga3_deap_func,0.35,0.004662004662004664,0.9953379953379954,0.6982154088050314,0.32466345791984386,2990.485,3730.2625000000007,1.1414285714285708,1.99,0.08130160091069458,-4.205970444649691
nsga3_func,0.15,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nsga3_func,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nsga3_func,0.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nsga3_func,0.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nsga3_func,0.35,0.0016516816516816512,0.9983483183483183,0.9503999999999999,0.19898469993721002,2998.040000000015,2998.039999999999,1.0,1.0,0.040545196153826304,-0.24710542790542958
nsga3_pymoo_func,0.15,0.0003330003330003331,0.9996669996669995,0.9923076923076922,0.0,3002.0,3001.9999999999986,1.0,1.0,0.01824525811761935,-0.007687184610261507
nsga3_pymoo_func,0.2,0.000999000999000999,0.9990009990009991,0.9769230769230767,0.13720019069199443,2999.9999999999995,2999.9999999999995,1.0,1.0,0.03159118541626753,-0.06913855375393843
nsga3_pymoo_func,0.25,0.002997002997002997,0.997002997002997,0.9307692307692308,0.27440038138398903,2993.999999999932,2994.0,1.0,1.0,0.05466279328792988,-0.6210020748482145
nsga3_pymoo_func,0.3,0.005994005994005994,0.9940059940059934,0.8615384615384617,0.3609640638872461,2984.999999999963,2985.0000000000005,1.0,1.0,0.07718858650182558,-2.4765388457695856
nsga3_pymoo_func,0.35,0.009324009324009327,0.9906759906759909,0.7692307692307695,0.41321669526270616,2976.73333333334,3373.400000000002,1.0714285714285712,2.0,0.1059349376854059,-6.402868925945864
